candidate_id,candidate_name,domain,jurisdiction,incumbent_standard,origin_or_formalization,lock_in_period,historical_objective,historical_constraints,historical_evidence,technology_change,other_changes,modern_decision_variable,outcomes,datasets,switching_costs,network_costs,regulation,safety,externalities,identifiability,tractability,comparability,source_quality,negative_control_suitability,tfsc_relevance,technology_mediated_relevance,historical_evidence_score,technology_relevance_score,decision_clarity_score,current_data_score,identifiability_score,counterfactual_feasibility_score,transition_cost_feasibility_score,source_quality_score,comparability_score,total_score,exclusion_flag,verification_status,screening_status,screening_reason
BE01,Fixed HVAC schedules,built_environment,International or jurisdiction-specific; verify before selection,Clock-based HVAC start/stop schedules,Building controls and energy-code practice,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Occupancy sensing and model-predictive control,"Energy prices, comfort expectations, building use, and climate.",Zone-level HVAC schedule and setpoints,"Energy, peak demand, comfort hours, air quality",Building Data Genome; EnergyPlus reference buildings,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; computation; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE02,Constant ventilation rates,built_environment,International or jurisdiction-specific; verify before selection,Fixed outdoor-air rates by area or design occupancy,Ventilation standards and codes,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,CO2 and occupancy-based demand-controlled ventilation,"Energy prices, comfort expectations, building use, and climate.",Outdoor-air flow by zone and time,"Energy, CO2 exposure, humidity, comfort",ASHRAE reference models; public indoor-air datasets,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE03,Scheduled lighting,built_environment,International or jurisdiction-specific; verify before selection,Lights operated by fixed schedules or manual switches,Electrical and building operating practice,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Occupancy and daylight sensors with networked controls,"Energy prices, comfort expectations, building use, and climate.",Lighting level by zone and time,"Electricity, illuminance, occupant acceptance",DOE reference buildings; public smart-building traces,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication; automation,3,3,3,2,3,3,2,3,3,25,,selection_sources_persisted_and_checked,frozen_primary,Public minute-level occupancy data permit fixed-schedule and sensing-based lighting policies to be compared under explicit energy and false-off constraints.
BE04,Collective elevator dispatch,built_environment,International or jurisdiction-specific; verify before selection,Up/down collective elevator control,Elevator-control engineering practice,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Destination-control and predictive dispatch,"Energy prices, comfort expectations, building use, and climate.",Car assignment and zoning policy,"Wait time, journey time, energy, crowding",Open elevator traffic benchmarks and simulation,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; computation; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE05,Periodic fire-system inspection,built_environment,International or jurisdiction-specific; verify before selection,Calendar-based inspection and testing,Fire codes and maintenance standards,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Remote diagnostics and continuously monitored components,"Energy prices, comfort expectations, building use, and climate.",Inspection interval and condition trigger,"Failure detection, downtime, cost, false alerts",Authority inspection records; device reliability studies,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE06,Uniform thermal setpoints,built_environment,International or jurisdiction-specific; verify before selection,Building-wide heating and cooling setpoints,Comfort guidance and centralized HVAC practice,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Personal comfort systems and localized sensing,"Energy prices, comfort expectations, building use, and climate.",Setpoint distribution and personal control,"Energy, comfort, equity",ASHRAE comfort databases; public building traces,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; personalization,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE07,Continuously running escalators,built_environment,International or jurisdiction-specific; verify before selection,Continuous operation during opening hours,Electromechanical reliability practice,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Presence sensing and variable-speed drives,"Energy prices, comfort expectations, building use, and climate.",Stop/start and speed-control policy,"Energy, wait, wear, safety",Transit-station energy reports; manufacturer curves,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; automation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE08,Static facade shading,built_environment,International or jurisdiction-specific; verify before selection,Fixed glazing and static shading geometry,Building-envelope standards,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Electrochromic glazing and automated shades,"Energy prices, comfort expectations, building use, and climate.",Shading state by facade and time,"Cooling, glare, daylight, cost",EnergyPlus weather and reference models,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE09,Fixed heating curves,built_environment,International or jurisdiction-specific; verify before selection,Outdoor-temperature reset with fixed curve,Hydronic control practice,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Forecast-aware and learning control,"Energy prices, comfort expectations, building use, and climate.",Supply-temperature trajectory,"Energy, comfort, equipment cycling",Open weather; building-control datasets,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,computation; forecasting,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
BE10,Parking minimum requirements,built_environment,International or jurisdiction-specific; verify before selection,Minimum parking spaces by land use,Municipal zoning codes,To be established from authoritative historical sources,Provide reliable building service with simple local controls.,"Sparse sensing, electromechanical controls, manual commissioning, and limited computation.",Candidate-level lead only; authoritative history not yet verified,Real-time occupancy information and shared mobility platforms,"Energy prices, comfort expectations, building use, and climate.",Required parking capacity and pricing,"Access, land use, cruising, spillover",Municipal codes; parking sensor datasets,"Retrofit hardware, commissioning, controls integration, and training.",Building-management-system and vendor interoperability.,"Building, energy, accessibility, and fire codes vary by jurisdiction.","Indoor-air quality, egress, fire protection, and equipment limits must remain binding.","Energy demand, emissions, health, and peak-load effects.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
