unit,training_lifetime_cycles,evaluation_lifetime_cycles
1,192,143
2,287,147
3,179,195
4,189,188
5,269,189
6,188,198
7,259,251
8,150,261
9,201,166
10,222,288
11,240,180
12,170,341
13,163,290
14,180,153
15,207,159
16,209,197
17,276,215
18,195,161
19,158,222
20,234,200
21,195,205
22,202,150
23,168,243
24,147,206
25,230,193
26,199,195
27,156,206
28,165,255
29,163,261
30,194,258
31,234,204
32,191,193
33,200,156
34,195,210
35,181,209
36,158,145
37,170,142
38,194,175
39,128,179
40,188,161
41,216,141
42,196,166
43,207,231
44,192,163
45,158,266
46,256,193
47,214,208
48,231,170
49,215,324
50,198,153
51,213,258
52,213,218
53,195,190
54,257,218
55,193,250
56,275,151
57,137,263
58,147,213
59,231,208
60,172,247
61,185,180
62,180,286
63,174,227
64,283,196
65,153,199
66,202,161
67,313,148
68,199,195
69,362,175
70,137,246
71,208,186
72,213,181
73,213,243
74,166,263
75,229,201
76,210,215
77,154,196
78,231,179
79,199,164
80,185,223
81,240,221
82,214,171
83,293,210
84,267,230
85,188,152
86,278,199
87,178,172
88,213,183
89,217,313
90,154,174
91,135,272
92,341,170
93,155,329
94,258,188
95,283,217
96,336,234
97,202,216
98,156,180
99,185,214
100,200,218
